date,sentiment,win_rate
2025-02-04,Greed,0.00
2025-02-04,Greed,28.63
2025-02-07,Fear,66.67
2025-02-07,Fear,4.03
2025-02-07,Fear,25.81
2025-02-07,Fear,82.35
2025-02-07,Fear,33.33
2025-02-07,Fear,0.00
2025-02-07,Fear,70.69
2025-02-07,Fear,0.00
2025-02-07,Fear,0.00
2025-02-07,Fear,0.00
2025-02-07,Fear,25.67
2025-02-07,Fear,33.57
2025-02-07,Fear,40.00
2025-02-08,Fear,0.00
2025-02-08,Fear,0.00
2025-02-08,Fear,22.73
2025-02-08,Fear,0.00
2025-02-08,Fear,50.00
2025-02-08,Fear,0.00
2025-02-08,Fear,87.50
2025-02-08,Fear,0.00
2025-02-08,Fear,29.27
2025-02-08,Fear,7.69
2025-02-10,Fear,33.33
2025-02-10,Fear,67.44
2025-02-10,Fear,33.33
2025-02-10,Fear,34.52
2025-02-10,Fear,0.00
2025-02-10,Fear,60.34
2025-02-10,Fear,34.12
2025-02-10,Fear,0.00
2025-02-10,Fear,15.22
2025-02-10,Fear,60.86
2025-02-10,Fear,100.00
2025-02-10,Fear,0.00
2025-02-10,Fear,0.00
2025-02-10,Fear,65.00
2025-02-19,Fear,31.82
2025-02-19,Fear,27.27
2025-02-19,Fear,39.66
2025-02-19,Fear,69.68
2025-02-19,Fear,0.00
2025-02-19,Fear,0.00
2025-02-19,Fear,33.50
2025-02-19,Fear,30.59
2025-02-19,Fear,1.65
2025-02-19,Fear,56.65
2025-02-21,Greed,65.59
2025-02-21,Greed,43.33
2025-02-21,Greed,0.00
2025-02-21,Greed,100.00
2025-02-21,Greed,73.33
2025-02-21,Greed,10.53
2025-02-21,Greed,0.00
2025-02-21,Greed,64.36
2025-02-21,Greed,0.00
2025-02-21,Greed,100.00
2025-02-21,Greed,44.34
2025-02-21,Greed,53.45
2025-02-21,Greed,0.00
2025-02-21,Greed,45.49
2025-02-25,Fear,42.47
2025-02-25,Fear,0.00
2025-02-25,Fear,26.53
2025-02-25,Fear,62.50
2025-02-25,Fear,36.84
2025-02-25,Fear,53.02
2025-02-25,Fear,0.00
2025-02-25,Fear,99.27
2025-02-25,Fear,96.20
2025-02-25,Fear,100.00
2025-02-25,Fear,0.00
2025-02-25,Fear,0.00
2025-02-25,Fear,0.00
2025-02-25,Fear,27.98
2025-02-25,Fear,0.00
2025-02-25,Fear,16.86
2025-02-25,Fear,60.71
2025-02-25,Fear,27.16
2025-03-02,Fear,76.71
2025-03-02,Fear,38.10
2025-03-02,Fear,80.77
2025-03-02,Fear,100.00
2025-03-02,Fear,91.67
2025-03-02,Fear,0.00
2025-03-02,Fear,50.00
2025-03-02,Fear,48.39
2025-03-02,Fear,0.00
2025-03-02,Fear,53.92
2025-03-03,Fear,84.24
2025-03-03,Fear,45.45
2025-03-03,Fear,36.21
2025-03-03,Fear,36.36
2025-03-03,Fear,0.00
2025-03-03,Fear,50.00
2025-03-03,Fear,62.50
2025-03-03,Fear,60.40
2025-03-03,Fear,0.00
2025-03-03,Fear,33.82
2025-03-03,Fear,8.52
2025-03-03,Fear,45.16
2025-03-03,Fear,82.35
2025-03-03,Fear,65.75
2025-03-06,Fear,61.90
2025-03-06,Fear,73.33
2025-03-06,Fear,70.27
2025-03-06,Fear,50.00
2025-03-06,Fear,33.33
2025-03-06,Fear,27.03
2025-03-06,Fear,0.00
2025-03-06,Fear,43.94
2025-03-06,Fear,60.80
2025-03-06,Fear,0.00
2025-03-06,Fear,0.00
2025-03-06,Fear,42.05
2025-03-07,Fear,0.00
2025-03-07,Fear,37.50
2025-03-07,Fear,33.33
2025-03-07,Fear,25.81
2025-03-07,Fear,0.00
2025-03-07,Fear,81.82
2025-03-07,Fear,0.00
2025-03-07,Fear,0.00
2025-03-07,Fear,50.00
2025-03-07,Fear,0.00
2025-03-07,Fear,45.98
2025-03-07,Fear,68.03
2025-03-07,Fear,65.99
2025-03-07,Fear,51.04
2025-03-08,Fear,100.00
2025-03-08,Fear,40.00
2025-03-08,Fear,100.00
2025-03-08,Fear,22.58
2025-03-08,Fear,0.00
2025-03-08,Fear,0.00
2025-03-08,Fear,0.00
2025-03-08,Fear,94.44
2025-03-08,Fear,0.00
2025-03-08,Fear,0.00
2025-03-08,Fear,84.78
2025-03-08,Fear,100.00
2025-03-08,Fear,38.81
2025-03-09,Fear,87.69
2025-03-09,Fear,16.67
2025-03-09,Fear,0.00
2025-03-09,Fear,0.00
2025-03-09,Fear,0.00
2025-03-09,Fear,0.00
2025-03-09,Fear,100.00
2025-03-09,Fear,94.29
2025-03-09,Fear,30.41
2025-03-09,Fear,60.95
2025-03-09,Fear,17.02
2025-03-09,Fear,24.72
2025-03-12,Fear,98.11
2025-03-12,Fear,44.44
2025-03-12,Fear,0.00
2025-03-12,Fear,42.86
2025-03-12,Fear,0.00
2025-03-12,Fear,87.50
2025-03-12,Fear,0.00
2025-03-12,Fear,0.00
2025-03-12,Fear,10.18
2025-03-12,Fear,58.17
2025-03-12,Fear,65.27
2025-03-12,Fear,0.00
2025-03-12,Fear,49.19
2025-03-14,Fear,0.00
2025-03-14,Fear,100.00
2025-03-14,Fear,40.00
2025-03-14,Fear,100.00
2025-03-14,Fear,100.00
2025-03-14,Fear,0.00
2025-03-14,Fear,100.00
2025-03-14,Fear,56.10
