date,sentiment,losing_day
2025-03-21,Fear,0
2025-03-21,Fear,0
2025-03-21,Fear,0
2025-03-21,Fear,0
2025-03-21,Fear,0
2025-03-21,Fear,0
2025-03-21,Fear,0
2025-03-21,Fear,0
2025-03-21,Fear,0
2025-03-22,Fear,0
2025-03-22,Fear,1
2025-03-22,Fear,0
2025-03-22,Fear,0
2025-03-22,Fear,0
2025-03-22,Fear,0
2025-03-22,Fear,1
2025-03-22,Fear,0
2025-03-23,Fear,0
2025-03-23,Fear,0
2025-03-23,Fear,0
2025-03-23,Fear,0
2025-03-23,Fear,0
2025-03-23,Fear,0
2025-03-23,Fear,0
2025-03-23,Fear,0
2025-03-23,Fear,0
2025-03-23,Fear,0
2025-03-27,Fear,1
2025-03-27,Fear,0
2025-03-27,Fear,0
2025-03-27,Fear,0
2025-03-27,Fear,0
2025-03-27,Fear,0
2025-03-27,Fear,0
2025-03-27,Fear,0
2025-03-27,Fear,0
2025-03-27,Fear,0
2025-03-27,Fear,0
2025-03-28,Fear,0
2025-03-28,Fear,1
2025-03-28,Fear,0
2025-03-28,Fear,0
2025-03-28,Fear,0
2025-03-28,Fear,0
2025-03-28,Fear,0
2025-03-28,Fear,0
2025-03-28,Fear,0
2025-03-28,Fear,0
2025-03-28,Fear,0
2025-03-29,Fear,1
2025-03-29,Fear,0
2025-03-29,Fear,0
2025-03-29,Fear,0
2025-03-29,Fear,0
2025-03-29,Fear,0
2025-03-29,Fear,0
2025-03-29,Fear,0
2025-03-29,Fear,0
2025-03-29,Fear,1
2025-03-30,Fear,1
2025-03-30,Fear,0
2025-03-30,Fear,0
2025-03-30,Fear,0
2025-03-30,Fear,0
2025-03-30,Fear,0
2025-03-30,Fear,0
2025-03-30,Fear,0
2025-03-30,Fear,0
2025-03-31,Fear,0
2025-03-31,Fear,0
2025-03-31,Fear,0
2025-03-31,Fear,0
2025-03-31,Fear,0
2025-03-31,Fear,0
2025-03-31,Fear,0
2025-03-31,Fear,0
2025-03-31,Fear,0
2025-03-31,Fear,0
2025-03-31,Fear,1
2025-03-31,Fear,0
2025-04-01,Fear,0
2025-04-01,Fear,0
2025-04-01,Fear,1
2025-04-01,Fear,0
2025-04-01,Fear,0
2025-04-01,Fear,0
2025-04-01,Fear,0
2025-04-01,Fear,1
2025-04-01,Fear,0
2025-04-02,Fear,0
2025-04-02,Fear,0
2025-04-02,Fear,0
2025-04-02,Fear,0
2025-04-02,Fear,0
2025-04-02,Fear,0
2025-04-02,Fear,0
2025-04-02,Fear,0
2025-04-02,Fear,0
2025-04-02,Fear,0
2025-04-02,Fear,0
2025-04-03,Fear,0
2025-04-03,Fear,0
2025-04-03,Fear,0
2025-04-03,Fear,0
2025-04-03,Fear,0
2025-04-03,Fear,0
2025-04-03,Fear,0
2025-04-03,Fear,0
2025-04-03,Fear,0
2025-04-03,Fear,0
2025-04-03,Fear,0
2025-04-03,Fear,0
2025-04-03,Fear,0
2025-04-03,Fear,0
2025-04-03,Fear,0
2025-04-03,Fear,1
2025-04-03,Fear,1
2025-04-04,Fear,0
2025-04-04,Fear,0
2025-04-04,Fear,0
2025-04-04,Fear,0
2025-04-04,Fear,0
2025-04-04,Fear,0
2025-04-04,Fear,0
2025-04-04,Fear,0
2025-04-04,Fear,0
2025-04-04,Fear,0
2025-04-04,Fear,0
