date,sentiment,daily_pnl
2024-10-28,Greed,0
2024-10-28,Greed,167.2801582813263
2024-10-29,Greed,0
2024-10-29,Greed,801.1708908081055
2024-11-02,Greed,0
2024-11-03,Greed,0
2024-11-03,Greed,0
2024-11-04,Greed,540.059112071991
2024-11-04,Greed,2259.3513584136963
2024-11-05,Greed,678.4759311676025
2024-11-06,Greed,-3.411190003156662
2024-11-06,Greed,2821.2484169006348
2024-12-06,Greed,-175610.9959948063
2024-12-06,Greed,0
2024-12-06,Greed,389.1762270927429
2024-12-06,Greed,-123.87012076377869
2024-12-06,Greed,0
2024-12-06,Greed,0
2024-12-06,Greed,514.8864497542381
2024-12-06,Greed,7206.315352551639
2024-12-06,Greed,0
2024-12-06,Greed,74999.84901237488
2024-12-11,Greed,1582.0011223312467
2024-12-11,Greed,8544.685522079468
2024-12-11,Greed,3721.3456420898438
2024-12-11,Greed,1157.6894880346954
2024-12-11,Greed,1083.777055978775
2024-12-11,Greed,698.0097160339355
2024-12-11,Greed,1567.4027453660965
2024-12-11,Greed,994.2389795780182
2024-12-11,Greed,39.77050018310547
2024-12-11,Greed,274998.9409427643
2024-12-11,Greed,0
2024-12-11,Greed,24663.690990574658
2024-12-20,Greed,1245.518511414528
2024-12-20,Greed,7812.716379016638
2024-12-20,Greed,305.55784356594086
2024-12-20,Greed,22.802719116210938
2024-12-20,Greed,1676.302762337029
2024-12-20,Greed,6049.693867892027
2024-12-20,Greed,53635.52971744537
2024-12-20,Greed,0
2024-12-20,Greed,0
2024-12-20,Greed,3509.2734291846864
2024-12-20,Greed,5930.482963114977
2024-12-20,Greed,23353.626178741455
2024-12-20,Greed,0
2024-12-20,Greed,11799.67992591858
2024-12-20,Greed,139628.47617687285
2024-12-21,Greed,7465.899925529957
2024-12-21,Greed,7454.276402264833
2024-12-21,Greed,1367.500169109553
2024-12-21,Greed,27649.187206864357
2024-12-21,Greed,24.404600381851196
2024-12-21,Greed,2600.050249896478
2024-12-21,Greed,0
2024-12-21,Greed,103460.84480680525
2024-12-22,Greed,1174.0255284309387
2024-12-22,Greed,1063.8543579671532
2024-12-22,Greed,0
2024-12-22,Greed,327545.99987983704
2024-12-22,Greed,0
2024-12-22,Greed,0
2024-12-22,Greed,2718.9821830391884
2024-12-22,Greed,19694.30191642046
2024-12-23,Greed,122.88999703526497
2024-12-23,Greed,6.476292014122009
2024-12-23,Greed,12082.949462890625
2024-12-23,Greed,4704.442060902715
2024-12-23,Greed,0
2024-12-23,Greed,0
2024-12-23,Greed,657.6935686916113
2024-12-23,Greed,0
2024-12-23,Greed,8639.369891166687
2024-12-23,Greed,0
2024-12-23,Greed,0
2024-12-23,Greed,20549.813328146935
2024-12-23,Greed,0
2024-12-23,Greed,-76194.26210483885
2024-12-24,Greed,1555.956439614296
2024-12-24,Greed,343.6333599090576
2024-12-24,Greed,14849.788764953613
2024-12-24,Greed,0
2024-12-24,Greed,1506.9892492480576
2024-12-24,Greed,2081.267444074154
2024-12-24,Greed,0
2024-12-24,Greed,3.430000066757202
2024-12-24,Greed,0
2024-12-24,Greed,0
2024-12-24,Greed,-5527.285238254815
2024-12-25,Greed,1530.9193775057793
2024-12-25,Greed,271.2468099594116
2024-12-25,Greed,0
2024-12-25,Greed,0
2024-12-25,Greed,14.215240001678467
2024-12-25,Greed,-1059.7243461608887
2024-12-27,Greed,388.3660200610757
2024-12-27,Greed,1473.245076060295
2024-12-27,Greed,357.34671688079834
2024-12-27,Greed,0
2024-12-27,Greed,0
2024-12-27,Greed,453.8532165288925
2024-12-27,Greed,0
2024-12-28,Greed,506.51255667209625
2024-12-28,Greed,0
2024-12-28,Greed,74.15674421191216
2024-12-28,Greed,16.972941637039185
2024-12-28,Greed,0
2024-12-28,Greed,343.0921325683594
2024-12-28,Greed,-0.060760000720620155
2024-12-29,Greed,115.51218217611313
2024-12-29,Greed,1609.6792040653527
2024-12-29,Greed,390.06205797195435
2024-12-29,Greed,0
2024-12-29,Greed,0
2024-12-29,Greed,768.8144378662109
2024-12-29,Greed,0
2024-12-30,Greed,255.80831129848957
2024-12-30,Greed,0.19908000528812408
2024-12-30,Greed,240.74915405362844
2024-12-30,Greed,2227.186565876007
2024-12-30,Greed,4235.298768043518
2024-12-30,Greed,0
2024-12-30,Greed,838.9844551086426
2024-12-30,Greed,1211.5118474960327
2024-12-30,Greed,0
2024-12-31,Greed,496.22179672122
2024-12-31,Greed,2243.319780111313
2024-12-31,Greed,97.68816854059696
2024-12-31,Greed,2301.219512939453
2024-12-31,Greed,0
2024-12-31,Greed,306.5635299682617
2025-01-01,Greed,109.82693898677826
2025-01-01,Greed,-9655.677069038153
2025-01-01,Greed,17.784696102142334
2025-01-01,Greed,0
2025-01-01,Greed,0
2025-01-01,Greed,0
2025-01-02,Greed,416.5466909855604
2025-01-02,Greed,677.2767614424229
2025-01-02,Greed,2399.9471637010574
2025-01-02,Greed,0
2025-01-02,Greed,3429.958335161209
2025-01-02,Greed,1008.5189456939697
2025-01-02,Greed,739.1842089891434
2025-01-02,Greed,45.08698605187237
2025-01-02,Greed,0
2025-01-03,Greed,250.58147925138474
2025-01-03,Greed,0
2025-01-03,Greed,846.6558118313551
2025-01-03,Greed,3084.2877383977175
2025-01-03,Greed,0
2025-01-03,Greed,937.7896030545235
2025-01-03,Greed,909.172148425132
2025-01-03,Greed,0
2025-01-03,Greed,0
2025-01-04,Greed,232.66549752652645
2025-01-04,Greed,73.45167517662048
2025-01-04,Greed,0
2025-01-04,Greed,0
2025-01-04,Greed,0
2025-01-04,Greed,0
2025-01-04,Greed,30.818078994750977
2025-01-04,Greed,556.8031311035156
2025-01-04,Greed,1659.7995162010193
2025-01-05,Greed,87.75218076258898
2025-01-05,Greed,8.594752192497253
2025-01-05,Greed,890.3315582275391
2025-01-05,Greed,0
2025-01-05,Greed,1093.0567702054977
2025-01-05,Greed,0
2025-01-05,Greed,151.4295852780342
2025-01-05,Greed,956.5545115470886
2025-01-08,Greed,651.4693515116815
2025-01-08,Greed,0
2025-01-08,Greed,1377.9895826131105
2025-01-08,Greed,0
2025-01-08,Greed,0
2025-01-08,Greed,122050.8665356636
2025-01-08,Greed,3710.3617712259293
2025-01-08,Greed,0
2025-01-08,Greed,1303.1277635181323
2025-01-08,Greed,0
2025-01-08,Greed,1023.2751042842865
2025-01-09,Greed,571.6889423131943
2025-01-09,Greed,279.5879304651171
2025-01-09,Greed,35352.95351409912
2025-01-09,Greed,10647.9765625
2025-01-09,Greed,0
2025-01-09,Greed,0
2025-01-09,Greed,123.72129641100764
2025-01-11,Greed,157.22823211550713
2025-01-11,Greed,-2.4548439607024193
2025-01-11,Greed,71.39075970649719
2025-01-11,Greed,1559.8415279388428
2025-01-11,Greed,0
2025-01-11,Greed,417.6471745967865
2025-01-11,Greed,65.42769241333008
2025-01-12,Greed,274.7730317097157
2025-01-12,Greed,3699.757268190384
2025-01-12,Greed,103.67729783058167
2025-01-12,Greed,927.4126845374703
2025-01-12,Greed,736.6215143874288
2025-01-12,Greed,0
2025-01-12,Greed,0
2025-01-13,Greed,0
2025-01-13,Greed,53.846608977764845
2025-01-13,Greed,0
2025-01-13,Greed,218.4293938279152
2025-01-13,Greed,0
2025-01-13,Greed,1756.982027977705
2025-01-13,Greed,0
2025-01-13,Greed,3944.7294417619705
2025-01-13,Greed,1621.2788848876953
2025-01-13,Greed,2060.162966489792
2025-01-13,Greed,0
2025-01-14,Greed,894.5648317039013
2025-01-14,Greed,0
2025-01-14,Greed,992.8030145168304
2025-01-14,Greed,1878.804645895958
2025-01-14,Greed,104.68063735961914
2025-01-14,Greed,82.03211855888367
2025-01-14,Greed,7013.428651332855
2025-01-14,Greed,0
